Cryptocurrency,Price (USD),24h Volume (USD),Market Cap (USD),SMA (10)
bitcoin,65527.11644598126,,,65763.71203616016
bitcoin,65463.51029871186,,,65746.44041566338
bitcoin,64746.39422306732,,,65645.39487671592
bitcoin,64396.475068537344,,,65504.77918378748
bitcoin,64484.969411959624,,,65369.85672870114
bitcoin,64433.83839159956,,,65232.167649215706
bitcoin,64537.123463429336,,,65090.367227266346
bitcoin,64349.82336854003,,,64942.47022116838
bitcoin,64587.99699957813,,,64811.37006568334
bitcoin,64318.776746778014,,,64684.60244181824
bitcoin,63616.34230857029,,,64493.52502807714
bitcoin,63568.17951393721,,,64303.99194959969
bitcoin,63865.76587841092,,,64215.92911513404
bitcoin,64022.25371999935,,,64178.50698028025
bitcoin,63833.48490125871,,,64113.35852921016
bitcoin,63748.92772707046,,,64044.867462757255
bitcoin,63583.09984434522,,,63949.46510084883
bitcoin,63486.25842123686,,,63863.10860611851
bitcoin,63666.31684713173,,,63770.94059087387
bitcoin,63449.59115410886,,,63684.02203160695
bitcoin,63503.49356014067,,,63672.737156764
bitcoin,63791.957559365765,,,63695.114961306856
bitcoin,63686.79515140152,,,63677.21788860591
bitcoin,63469.3026729772,,,63621.922783903705
bitcoin,63356.22260582781,,,63574.196554360606
bitcoin,63501.74133444947,,,63549.47791509852
bitcoin,63415.08962787346,,,63532.676893451346
bitcoin,63412.18315733011,,,63525.26936706066
bitcoin,63705.4811336735,,,63529.185795714846
bitcoin,63757.081328592845,,,63559.93481316323
bitcoin,63800.85417413033,,,63589.670874562195
bitcoin,64004.68196367795,,,63610.94331499342
bitcoin,64080.50178633876,,,63650.313978487146
bitcoin,64004.08662239725,,,63703.79237342915
bitcoin,63854.36636664453,,,63753.60674951082
bitcoin,63914.18899810702,,,63794.85151587657
bitcoin,63754.2937988693,,,63828.77193297616
bitcoin,63662.60373432032,,,63853.81399067517
bitcoin,62961.686718729194,,,63779.43454918075
bitcoin,62599.76795365424,,,63663.70321168689
bitcoin,62593.86156482709,,,63543.00395075657
bitcoin,62427.029171520604,,,63385.23867154083
bitcoin,62125.97948359865,,,63189.78644126683
bitcoin,61956.825722575944,,,62985.06035128469
bitcoin,61289.16593411256,,,62728.5403080315
bitcoin,60773.960601536724,,,62414.517468374455
bitcoin,60862.73712876756,,,62125.3618013643
bitcoin,60791.99680016752,,,61838.30110794902
